Ticker,Marketcap
OMC,16919696384.0
ORCL,234171760640.0
ORLY,45741174784.0
OTIS,35757051904.0
OXY,33165664256.0
PAYC,20048015360.0
PAYX,45094625280.0
PBCT,9168294912.0
PCAR,33502580736.0
PEAK,19449718784.0
PEG,32994576384.0
PENN,7534897664.0
PEP,242848645120.0
PFE,308427227136.0
PFG,20362600448.0
PG,386732228608.0
PGR,64137900032.0
PH,42015408128.0
PHM,14454388736.0
PKG,13043186688.0
PKI,22522914816.0
PLD,112924803072.0
PM,160945078272.0
PNC,93910827008.0
PNR,10939750400.0
PNW,8153428992.0
POOL,19807481856.0
PPG,39171162112.0
PPL,22498959360.0
PRU,44377198592.0
PSA,63441690624.0
PSX,38815932416.0
PTC,13659006976.0
PVH,7186699264.0
PWR,15196094464.0
PXD,52659703808.0
PYPL,209631019008.0
QCOM,211332808704.0
QRVO,16393465856.0
RCL,21440579584.0
RE,11428819968.0
REG,12977945600.0
REGN,66164752384.0
RF,24222920704.0
RHI,12733925376.0
RJF,22533832704.0
RL,8454176256.0
RMD,36745515008.0
ROK,37710024704.0
ROL,16045717504.0
ROP,47236182016.0
ROST,36135055360.0
RSG,41177956352.0
RTX,138197696512.0
SBAC,35491975168.0
SBNY,22154473472.0
SBUX,117460787200.0
SCHW,180609007616.0
SEDG,13331024896.0
SEE,10030227456.0
SHW,80876978176.0
SIVB,41339990016.0
SJM,15728888832.0
SLB,53033443328.0
SNA,11784659968.0
SNPE,
SNPS,50045337600.0
SO,72765874176.0
SPG,51165978624.0
SPGI,104198758400.0
SPY,426511663104.0
SRE,44055732224.0
STE,23457394688.0
STT,37941317632.0
STX,24311851008.0
STZ,46660530176.0
SWK,31408304128.0
SWKS,25742487552.0
SYF,26635094016.0
SYK,100613677056.0
SYY,40904822784.0
T,194092384256.0
TAP,11232599040.0
TDG,35656536064.0
TDY,19617579008.0
TECH,15329488896.0
TEL,52451553280.0
TER,26825570304.0
TFC,89984942080.0
TFX,15259758592.0
TGT,106078052352.0
TJX,84909195264.0
TMO,234379739136.0
TMUS,135546896384.0
TPR,10557237248.0
TRMB,19056527360.0
TROW,40102772736.0
TRV,40151130112.0
TSCO,25263515648.0
TSLA,1054081286144.0
TSN,34042474496.0
TT,42757201920.0
TTWO,17610174464.0
TWTR,30737006592.0
TXN,172708593664.0
TXT,16897780736.0
TYL,19689930752.0
UA,8301424128.0
UAA,8301417984.0
UAL,15134740480.0
UDR,18112114688.0
UHS,10743980032.0
ULTA,20266932224.0
UNH,441436143616.0
UNP,158321082368.0
UPS,179512590336.0
URI,23732332544.0
USB,93787103232.0
V,466651774976.0
VFC,28378501120.0
VIAC,24015255552.0
VLO,34832826368.0
VMC,25509881856.0
VNO,8870995968.0
VRSK,31934050304.0
VRSN,25156945920.0
VRTX,59510222848.0
VTR,21128386560.0
VTRS,18406916096.0
VZ,223656640512.0
WAB,17878767616.0
WAT,20369645568.0
WBA,46875668480.0
WDC,20766556160.0
WEC,30360619008.0
WELL,38090915840.0
WFC,231498579968.0
WHR,13182468096.0
WM,65529200640.0
WMB,35588231168.0
WMT,402379046912.0
WRB,15118616576.0
WRK,12341457920.0
WST,28133986304.0
WTW,28549726208.0
WY,30695864320.0
WYNN,10579237888.0
XEL,37152481280.0
XLNX,49191784448.0
XOM,304266706944.0
XRAY,11791662080.0
XYL,20113448960.0
YUM,37245476864.0
ZBH,26610700288.0
ZBRA,28217112576.0
ZION,11054111744.0
ZTS,97549115392.0
