,Symbol,Security,GICS Sector,GICS Sub-Industry,is_esg
75,C,Citigroup,Financials,Diversified Banks,1
76,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,1
77,CAH,Cardinal Health,Health Care,Health Care Distributors,1
78,CARR,Carrier Global,Industrials,Building Products,0
79,CAT,Caterpillar,Industrials,Construction Machinery & Heavy Trucks,1
80,CB,Chubb,Financials,Property & Casualty Insurance,1
81,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1
82,CBRE,CBRE,Real Estate,Real Estate Services,1
83,CCI,Crown Castle,Real Estate,Specialized REITs,0
84,CCL,Carnival Corporation,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0
85,CDAY,Ceridian,Information Technology,Application Software,0
86,CDNS,Cadence Design Systems,Information Technology,Application Software,0
87,CDW,CDW,Information Technology,Technology Distributors,0
88,CE,Celanese,Materials,Specialty Chemicals,0
89,CERN,Cerner,Health Care,Health Care Technology,0
90,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,1
91,CFG,Citizens Financial Group,Financials,Regional Banks,0
92,CHD,Church & Dwight,Consumer Staples,Household Products,0
93,CHRW,C. H. Robinson,Industrials,Air Freight & Logistics,0
94,CHTR,Charter Communications,Communication Services,Cable & Satellite,1
95,CI,Cigna,Health Care,Managed Health Care,1
96,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,0
97,CL,Colgate-Palmolive,Consumer Staples,Household Products,1
98,CLX,Clorox,Consumer Staples,Household Products,0
99,CMA,Comerica,Financials,Diversified Banks,1
100,CMCSA,Comcast,Communication Services,Cable & Satellite,1
101,CME,CME Group,Financials,Financial Exchanges & Data,1
102,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,0
103,CMI,Cummins,Industrials,Industrial Machinery,1
104,CMS,CMS Energy,Utilities,Multi-Utilities,0
105,CNC,Centene,Health Care,Managed Health Care,0
106,CNP,CenterPoint Energy,Utilities,Multi-Utilities,0
107,COF,Capital One,Financials,Consumer Finance,1
108,COO,The Cooper Companies,Health Care,Health Care Supplies,0
109,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,1
110,COST,Costco,Consumer Staples,Hypermarkets & Super Centers,0
111,CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,1
112,CPRT,Copart,Industrials,Diversified Support Services,0
113,CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,0
114,CRM,Salesforce,Information Technology,Application Software,1
115,CSCO,Cisco,Information Technology,Communications Equipment,1
116,CSX,CSX,Industrials,Railroads,1
117,CTAS,Cintas,Industrials,Diversified Support Services,1
118,CTLT,Catalent,Health Care,Pharmaceuticals,0
119,CTRA,Coterra,Energy,Oil & Gas Exploration & Production,0
120,CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,0
121,CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,1
122,CTXS,Citrix,Information Technology,Application Software,0
123,CVS,CVS Health,Health Care,Health Care Services,1
124,CVX,Chevron,Energy,Integrated Oil & Gas,1
125,CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,0
126,D,Dominion Energy,Utilities,Electric Utilities,0
127,DAL,Delta Air Lines,Industrials,Airlines,1
128,DD,DuPont,Materials,Specialty Chemicals,0
129,DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,1
130,DFS,Discover Financial Services,Financials,Consumer Finance,1
131,DG,Dollar General,Consumer Discretionary,General Merchandise Stores,0
132,DGX,Quest Diagnostics,Health Care,Health Care Services,1
133,DHI,D. R. Horton,Consumer Discretionary,Homebuilding,0
134,DHR,Danaher,Health Care,Health Care Equipment,1
135,DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,1
136,DISCA,Discovery (Series A),Communication Services,Broadcasting,1
137,DISCK,Discovery (Series C),Communication Services,Broadcasting,1
138,DISH,Dish Network,Communication Services,Cable & Satellite,0
139,DLR,Digital Realty,Real Estate,Specialized REITs,1
140,DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,1
141,DOV,Dover Corporation,Industrials,Industrial Machinery,1
142,DOW,Dow,Materials,Commodity Chemicals,1
143,DPZ,Domino's Pizza,Consumer Discretionary,Restaurants,0
144,DRE,Duke Realty,Real Estate,Industrial REITs,1
145,DRI,Darden Restaurants,Consumer Discretionary,Restaurants,0
146,DTE,DTE Energy,Utilities,Multi-Utilities,0
147,DUK,Duke Energy,Utilities,Electric Utilities,0
148,DVA,DaVita,Health Care,Health Care Facilities,1
149,DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,1
150,DXC,DXC Technology,Information Technology,IT Consulting & Other Services,1
151,DXCM,DexCom,Health Care,Health Care Equipment,0
152,EA,Electronic Arts,Communication Services,Interactive Home Entertainment,1
153,EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,1
154,ECL,Ecolab,Materials,Specialty Chemicals,1
155,ED,Con Edison,Utilities,Electric Utilities,1
156,EFX,Equifax,Industrials,Research & Consulting Services,0
157,EIX,Edison International,Utilities,Electric Utilities,1
158,EL,Estée Lauder Companies,Consumer Staples,Personal Products,0
159,EMN,Eastman Chemical,Materials,Diversified Chemicals,1
160,EMR,Emerson,Industrials,Electrical Components & Equipment,1
161,ENPH,Enphase Energy,Information Technology,Electronic Components,0
162,EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,0
163,EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,0
164,EQIX,Equinix,Real Estate,Specialized REITs,1
165,EQR,Equity Residential,Real Estate,Residential REITs,1
166,ES,Eversource Energy,Utilities,Multi-Utilities,1
167,ESS,Essex Property Trust,Real Estate,Residential REITs,1
168,ETN,Eaton,Industrials,Electrical Components & Equipment,1
169,ETR,Entergy,Utilities,Electric Utilities,1
170,ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,1
171,EVRG,Evergy,Utilities,Electric Utilities,0
172,EW,Edwards Lifesciences,Health Care,Health Care Equipment,1
173,EXC,Exelon,Utilities,Multi-Utilities,1
174,EXPD,Expeditors,Industrials,Air Freight & Logistics,0
175,EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,0
176,EXR,Extra Space Storage,Real Estate,Specialized REITs,1
177,F,Ford,Consumer Discretionary,Automobile Manufacturers,1
178,FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,0
179,FAST,Fastenal,Industrials,Building Products,1
180,FB,Meta Platforms,Communication Services,Interactive Media & Services,0
181,FBHS,Fortune Brands Home & Security,Industrials,Building Products,0
182,FCX,Freeport-McMoRan,Materials,Copper,1
183,FDS,FactSet,Financials,Financial Exchanges & Data,0
184,FDX,FedEx,Industrials,Air Freight & Logistics,1
185,FE,FirstEnergy,Utilities,Electric Utilities,1
186,FFIV,F5,Information Technology,Communications Equipment,0
187,FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,0
188,FISV,Fiserv,Information Technology,Data Processing & Outsourced Services,0
189,FITB,Fifth Third Bancorp,Financials,Regional Banks,1
190,FLT,Fleetcor,Information Technology,Data Processing & Outsourced Services,0
191,FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,1
192,FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,0
193,FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,0
194,FRC,First Republic Bank,Financials,Regional Banks,0
195,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,0
196,FTNT,Fortinet,Information Technology,Systems Software,0
197,FTV,Fortive,Industrials,Industrial Machinery,1
198,GD,General Dynamics,Industrials,Aerospace & Defense,0
199,GE,General Electric,Industrials,Industrial Conglomerates,1
200,GILD,Gilead Sciences,Health Care,Biotechnology,1
201,GIS,General Mills,Consumer Staples,Packaged Foods & Meats,1
202,GL,Globe Life,Financials,Life & Health Insurance,1
203,GLW,Corning,Information Technology,Electronic Components,1
204,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,1
205,GNRC,Generac Holdings,Industrials,Electrical Components & Equipment,0
206,GOOG,Alphabet (Class C),Communication Services,Interactive Media & Services,1
207,GOOGL,Alphabet (Class A),Communication Services,Interactive Media & Services,1
208,GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,0
209,GPN,Global Payments,Information Technology,Data Processing & Outsourced Services,0
210,GPS,Gap,Consumer Discretionary,Apparel Retail,1
211,GRMN,Garmin,Consumer Discretionary,Consumer Electronics,0
212,GS,Goldman Sachs,Financials,Investment Banking & Brokerage,1
213,GWW,W. W. Grainger,Industrials,Industrial Machinery,1
214,HAL,Halliburton,Energy,Oil & Gas Equipment & Services,1
215,HAS,Hasbro,Consumer Discretionary,Leisure Products,1
216,HBAN,Huntington Bancshares,Financials,Regional Banks,0
217,HCA,HCA Healthcare,Health Care,Health Care Facilities,0
218,HD,Home Depot,Consumer Discretionary,Home Improvement Retail,1
219,HES,Hess Corporation,Energy,Integrated Oil & Gas,1
220,HIG,The Hartford,Financials,Property & Casualty Insurance,1
221,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,0
222,HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1
223,HOLX,Hologic,Health Care,Health Care Equipment,1
224,HON,Honeywell,Industrials,Industrial Conglomerates,0
225,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",1
226,HPQ,HP,Information Technology,"Technology Hardware, Storage & Peripherals",1
227,HRL,Hormel,Consumer Staples,Packaged Foods & Meats,1
228,HSIC,Henry Schein,Health Care,Health Care Distributors,1
229,HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,1
230,HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,1
231,HUM,Humana,Health Care,Managed Health Care,1
232,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,1
233,IBM,IBM,Information Technology,IT Consulting & Other Services,0
234,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,1
235,IDXX,Idexx Laboratories,Health Care,Health Care Equipment,1
236,IEX,IDEX Corporation,Industrials,Industrial Machinery,1
237,IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,1
238,ILMN,Illumina,Health Care,Life Sciences Tools & Services,1
239,INCY,Incyte,Health Care,Biotechnology,1
240,INFO,IHS Markit,Industrials,Research & Consulting Services,1
241,INTC,Intel,Information Technology,Semiconductors,1
242,INTU,Intuit,Information Technology,Application Software,1
243,IP,International Paper,Materials,Paper Packaging,1
244,IPG,Interpublic Group,Communication Services,Advertising,1
245,IPGP,IPG Photonics,Information Technology,Electronic Manufacturing Services,0
246,IQV,IQVIA,Health Care,Life Sciences Tools & Services,0
247,IR,Ingersoll Rand,Industrials,Industrial Machinery,1
248,IRM,Iron Mountain,Real Estate,Specialized REITs,1
249,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,0
250,IT,Gartner,Information Technology,IT Consulting & Other Services,0
251,ITW,Illinois Tool Works,Industrials,Industrial Machinery,1
252,IVZ,Invesco,Financials,Asset Management & Custody Banks,1
253,J,Jacobs Engineering Group,Industrials,Construction & Engineering,0
254,JBHT,J. B. Hunt,Industrials,Trucking,0
255,JCI,Johnson Controls,Industrials,Building Products,1
256,JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,0
257,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,0
258,JNPR,Juniper Networks,Information Technology,Communications Equipment,1
259,JPM,JPMorgan Chase,Financials,Diversified Banks,1
260,K,Kellogg's,Consumer Staples,Packaged Foods & Meats,1
261,KEY,KeyCorp,Financials,Regional Banks,1
262,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,1
263,KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,1
264,KIM,Kimco Realty,Real Estate,Retail REITs,1
265,KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,1
266,KMB,Kimberly-Clark,Consumer Staples,Household Products,0
267,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,1
268,KMX,CarMax,Consumer Discretionary,Specialty Stores,1
269,KO,Coca-Cola,Consumer Staples,Soft Drinks,1
270,KR,Kroger,Consumer Staples,Food Retail,1
271,L,Loews Corporation,Financials,Multi-line Insurance,0
272,LDOS,Leidos,Industrials,Diversified Support Services,1
273,LEN,Lennar,Consumer Discretionary,Homebuilding,0
274,LH,LabCorp,Health Care,Health Care Services,1
275,LHX,L3Harris Technologies,Industrials,Aerospace & Defense,1
276,LIN,Linde,Materials,Industrial Gases,1
277,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,0
278,LLY,Eli Lilly,Health Care,Pharmaceuticals,1
279,LMT,Lockheed Martin,Industrials,Aerospace & Defense,0
280,LNC,Lincoln National,Financials,Multi-line Insurance,1
281,LNT,Alliant Energy,Utilities,Electric Utilities,0
282,LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,1
283,LRCX,Lam Research,Information Technology,Semiconductor Equipment,1
284,LUMN,Lumen Technologies,Communication Services,Alternative Carriers,0
285,LUV,Southwest Airlines,Industrials,Airlines,0
286,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,1
287,LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,0
288,LYB,LyondellBasell,Materials,Specialty Chemicals,1
289,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,1
290,MA,Mastercard,Information Technology,Data Processing & Outsourced Services,1
291,MAA,Mid-America Apartments,Real Estate,Residential REITs,0
292,MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1
293,MAS,Masco,Industrials,Building Products,0
294,MCD,McDonald's,Consumer Discretionary,Restaurants,1
295,MCHP,Microchip Technology,Information Technology,Semiconductors,0
296,MCK,McKesson Corporation,Health Care,Health Care Distributors,1
297,MCO,Moody's,Financials,Financial Exchanges & Data,1
298,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,1
299,MDT,Medtronic,Health Care,Health Care Equipment,1
300,MET,MetLife,Financials,Life & Health Insurance,1
301,MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,1
302,MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,0
303,MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,1
304,MKTX,MarketAxess,Financials,Financial Exchanges & Data,1
305,MLM,Martin Marietta Materials,Materials,Construction Materials,1
306,MMC,Marsh & McLennan,Financials,Insurance Brokers,1
307,MMM,3M,Industrials,Industrial Conglomerates,0
308,MNST,Monster Beverage,Consumer Staples,Soft Drinks,0
309,MO,Altria,Consumer Staples,Tobacco,0
310,MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,1
311,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,1
312,MPWR,Monolithic Power Systems,Information Technology,Semiconductors,0
313,MRK,Merck,Health Care,Pharmaceuticals,1
314,MRNA,Moderna,Health Care,Biotechnology,0
315,MRO,Marathon Oil,Energy,Oil & Gas Exploration & Production,0
316,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,1
317,MSCI,MSCI,Financials,Financial Exchanges & Data,1
318,MSFT,Microsoft,Information Technology,Systems Software,1
319,MSI,Motorola Solutions,Information Technology,Communications Equipment,1
320,MTB,M&T Bank,Financials,Regional Banks,0
321,MTCH,Match Group,Communication Services,Interactive Media & Services,0
322,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,1
323,MU,Micron Technology,Information Technology,Semiconductors,1
324,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0
325,NDAQ,Nasdaq,Financials,Financial Exchanges & Data,1
326,NEE,NextEra Energy,Utilities,Multi-Utilities,1
327,NEM,Newmont,Materials,Gold,1
328,NFLX,Netflix,Communication Services,Movies & Entertainment,0
329,NI,NiSource,Utilities,Multi-Utilities,0
330,NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1
331,NLOK,NortonLifeLock,Information Technology,Application Software,1
332,NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,1
333,NOC,Northrop Grumman,Industrials,Aerospace & Defense,0
334,NOW,ServiceNow,Information Technology,Systems Software,0
335,NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,0
336,NSC,Norfolk Southern,Industrials,Railroads,1
337,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",0
338,NTRS,Northern Trust,Financials,Asset Management & Custody Banks,1
339,NUE,Nucor,Materials,Steel,0
340,NVDA,Nvidia,Information Technology,Semiconductors,1
341,NVR,NVR,Consumer Discretionary,Homebuilding,0
342,NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,1
343,NWS,News Corp (Class B),Communication Services,Publishing,1
344,NWSA,News Corp (Class A),Communication Services,Publishing,1
345,NXPI,NXP,Information Technology,Semiconductors,0
346,O,Realty Income Corporation,Real Estate,Retail REITs,1
347,ODFL,Old Dominion Freight Line,Industrials,Trucking,0
348,OGN,Organon & Co.,Health Care,Pharmaceuticals,0
349,OKE,Oneok,Energy,Oil & Gas Storage & Transportation,1
350,OMC,Omnicom Group,Communication Services,Advertising,1
351,ORCL,Oracle,Information Technology,Application Software,1
352,ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,0
353,OTIS,Otis Worldwide,Industrials,Industrial Machinery,0
354,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,1
355,PAYC,Paycom,Information Technology,Application Software,0
356,PAYX,Paychex,Information Technology,Data Processing & Outsourced Services,0
357,PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,0
358,PCAR,Paccar,Industrials,Construction Machinery & Heavy Trucks,1
359,PEAK,Healthpeak Properties,Real Estate,Health Care REITs,1
360,PEG,PSEG,Utilities,Electric Utilities,1
361,PENN,Penn National Gaming,Consumer Discretionary,Casinos & Gaming,0
362,PEP,PepsiCo,Consumer Staples,Soft Drinks,1
363,PFE,Pfizer,Health Care,Pharmaceuticals,1
364,PFG,Principal Financial Group,Financials,Life & Health Insurance,1
365,PG,Procter & Gamble,Consumer Staples,Personal Products,1
366,PGR,Progressive Corporation,Financials,Property & Casualty Insurance,1
367,PH,Parker-Hannifin,Industrials,Industrial Machinery,1
368,PHM,PulteGroup,Consumer Discretionary,Homebuilding,1
369,PKG,Packaging Corporation of America,Materials,Paper Packaging,0
370,PKI,PerkinElmer,Health Care,Health Care Equipment,1
371,PLD,Prologis,Real Estate,Industrial REITs,1
372,PM,Philip Morris International,Consumer Staples,Tobacco,0
373,PNC,PNC Financial Services,Financials,Regional Banks,1
374,PNR,Pentair,Industrials,Industrial Machinery,1
375,PNW,Pinnacle West Capital,Utilities,Multi-Utilities,0
376,POOL,Pool Corporation,Consumer Discretionary,Distributors,0
377,PPG,PPG Industries,Materials,Specialty Chemicals,1
378,PPL,PPL,Utilities,Electric Utilities,0
379,PRU,Prudential Financial,Financials,Life & Health Insurance,1
380,PSA,Public Storage,Real Estate,Specialized REITs,0
381,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,0
382,PTC,PTC,Information Technology,Application Software,0
383,PVH,PVH,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1
384,PWR,Quanta Services,Industrials,Construction & Engineering,0
385,PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,1
386,PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,0
387,QCOM,Qualcomm,Information Technology,Semiconductors,1
388,QRVO,Qorvo,Information Technology,Semiconductors,0
389,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1
390,RE,Everest Re,Financials,Reinsurance,0
391,REG,Regency Centers,Real Estate,Retail REITs,1
392,REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,1
393,RF,Regions Financial Corporation,Financials,Regional Banks,1
394,RHI,Robert Half International,Industrials,Human Resource & Employment Services,1
395,RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,1
396,RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1
397,RMD,ResMed,Health Care,Health Care Equipment,0
398,ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,1
399,ROL,Rollins,Industrials,Environmental & Facilities Services,0
400,ROP,Roper Technologies,Industrials,Industrial Conglomerates,1
401,ROST,Ross Stores,Consumer Discretionary,Apparel Retail,0
402,RSG,Republic Services,Industrials,Environmental & Facilities Services,1
403,RTX,Raytheon Technologies,Industrials,Aerospace & Defense,0
404,SBAC,SBA Communications,Real Estate,Specialized REITs,0
405,SBNY,Signature Bank,Financials,Regional Banks,0
406,SBUX,Starbucks,Consumer Discretionary,Restaurants,1
407,SCHW,Charles Schwab,Financials,Investment Banking & Brokerage,1
408,SEDG,SolarEdge,Information Technology,Semiconductor Equipment,0
409,SEE,Sealed Air,Materials,Paper Packaging,0
410,SHW,Sherwin-Williams,Materials,Specialty Chemicals,0
411,SIVB,SVB Financial,Financials,Regional Banks,0
412,SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,1
413,SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,1
414,SNA,Snap-on,Industrials,Industrial Machinery,1
415,SNPS,Synopsys,Information Technology,Application Software,0
416,SO,Southern Company,Utilities,Electric Utilities,0
417,SPG,Simon Property Group,Real Estate,Retail REITs,1
418,SPGI,S&P Global,Financials,Financial Exchanges & Data,1
419,SRE,Sempra Energy,Utilities,Multi-Utilities,1
420,STE,Steris,Health Care,Health Care Equipment,0
421,STT,State Street Corporation,Financials,Asset Management & Custody Banks,1
422,STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",1
423,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,1
424,SWK,Stanley Black & Decker,Industrials,Industrial Machinery,1
425,SWKS,Skyworks Solutions,Information Technology,Semiconductors,0
426,SYF,Synchrony Financial,Financials,Consumer Finance,1
427,SYK,Stryker Corporation,Health Care,Health Care Equipment,0
428,SYY,Sysco,Consumer Staples,Food Distributors,1
429,T,AT&T,Communication Services,Integrated Telecommunication Services,1
430,TAP,Molson Coors,Consumer Staples,Brewers,1
431,TDG,TransDigm Group,Industrials,Aerospace & Defense,1
432,TDY,Teledyne Technologies,Industrials,Aerospace & Defense,0
433,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,0
434,TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,1
435,TER,Teradyne,Information Technology,Semiconductor Equipment,0
436,TFC,Truist Financial,Financials,Regional Banks,0
437,TFX,Teleflex,Health Care,Health Care Equipment,0
438,TGT,Target,Consumer Discretionary,General Merchandise Stores,1
439,TJX,TJX Companies,Consumer Discretionary,Apparel Retail,1
440,TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,1
441,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,0
442,TPR,Tapestry,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1
443,TRMB,Trimble,Information Technology,Electronic Equipment & Instruments,1
444,TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,1
445,TRV,The Travelers Companies,Financials,Property & Casualty Insurance,1
446,TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,0
447,TSLA,Tesla,Consumer Discretionary,Automobile Manufacturers,1
448,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,1
